movieID,title,year,genres_str,directorName,actors_str,tags_str,content_soup,primary_genre
23,Ninja Assassin,2009,Action Crime Thriller,james_mcteigue,rain ben_miles naomie_harris rick_yune shô_kosugi,afternoon_section divx1,Action Crime Thriller Action Crime Thriller james_mcteigue rain ben_miles naomie_harris rick_yune shô_kosugi afternoon_section divx1,Action
24,Powder,1995,Drama Sci-Fi,victor_salva,brandon_smith_(i) jeff_goldblum lance_henriksen mary_steenburgen sean_patrick_flanery,albino post_apocalyptic owned cant_remember reflective pretentious poignant earnest tearjerking elegiac,Drama Sci-Fi Drama Sci-Fi victor_salva brandon_smith_(i) jeff_goldblum lance_henriksen mary_steenburgen sean_patrick_flanery albino post_apocalyptic owned cant_remember reflective pretentious poignant earnest tearjerking elegiac,Drama
25,Leaving Las Vegas,1995,Drama Romance,mike_figgis,richard_lewis elisabeth_shue julian_sands nicolas_cage valeria_golino,nicolas_cage oscar_(best_actor) bibliothek alcoholism nudity_(topless) dark depressing addiction intimate understated,Drama Romance Drama Romance mike_figgis richard_lewis elisabeth_shue julian_sands nicolas_cage valeria_golino nicolas_cage oscar_(best_actor) bibliothek alcoholism nudity_(topless) dark depressing addiction intimate understated,Drama
26,Othello,1995,Drama,oliver_parker,irène_jacob kenneth_branagh laurence_fishburne michael_maloney nathaniel_parker,shakespeare nudity_(topless) great based_on_a_play playwright:shakespeare adapted_from:play shakespearean,Drama Drama oliver_parker irène_jacob kenneth_branagh laurence_fishburne michael_maloney nathaniel_parker shakespeare nudity_(topless) great based_on_a_play playwright:shakespeare adapted_from:play shakespearean,Drama
27,Now and Then,1995,Drama,lesli_linka_glatter,ashleigh_aston_moore christina_ricci demi_moore gaby_hoffmann thora_birch,,Drama Drama lesli_linka_glatter ashleigh_aston_moore christina_ricci demi_moore gaby_hoffmann thora_birch,Drama
28,Persuasion,1995,Drama Romance,roger_michell,amanda_root ciarán_hinds david_collings judy_cornwell susan_fleetwood,in_netflix_queue adaptation based_on_a_book oppl library_vhs fiona_shaw,Drama Romance Drama Romance roger_michell amanda_root ciarán_hinds david_collings judy_cornwell susan_fleetwood in_netflix_queue adaptation based_on_a_book oppl library_vhs fiona_shaw,Drama
29,La cité des enfants perdus,1995,Adventure Drama Fantasy Mystery Sci-Fi,jean-pierre_jeunet,daniel_emilfork dominique_pinon jean-claude_dreyfus judith_vittet ron_perlman,surreal dystopia steampunk kidnapping bleak santa_claus beautiful fanciful on_computer scifi,Adventure Drama Fantasy Mystery Sci-Fi Adventure Drama Fantasy Mystery Sci-Fi jean-pierre_jeunet daniel_emilfork dominique_pinon jean-claude_dreyfus judith_vittet ron_perlman surreal dystopia steampunk kidnapping bleak santa_claus beautiful fanciful on_computer scifi,Adventure
30,Yao a yao yao dao waipo qiao,1995,Crime Drama,yimou_zhang,li_gong baotian_li li_xuejian sun_chun wang_xiaoxiao,,Crime Drama Crime Drama yimou_zhang li_gong baotian_li li_xuejian sun_chun wang_xiaoxiao,Crime
31,Dangerous Minds,1995,Drama,john_n._smith,bruklin_harris courtney_b._vance george_dzundza michelle_pfeiffer robin_bartlett,high_school drama bibliothek erlends_dvds afternoon_section own seen_at_the_cinema teacher_as_protagonist teacher,Drama Drama john_n._smith bruklin_harris courtney_b._vance george_dzundza michelle_pfeiffer robin_bartlett high_school drama bibliothek erlends_dvds afternoon_section own seen_at_the_cinema teacher_as_protagonist teacher,Drama
32,Twelve Monkeys,1995,Sci-Fi Thriller,siddharth_randeria,bhiravi_vaidhy dilip_satgare haresh_mehta harish_panchal kamlesh_shah,time_travel brad_pitt bruce_willis terry_gilliam dystopia twist_ending end_of_the_world postapocalyptic scifi post_apocalyptic,Sci-Fi Thriller Sci-Fi Thriller siddharth_randeria bhiravi_vaidhy dilip_satgare haresh_mehta harish_panchal kamlesh_shah time_travel brad_pitt bruce_willis terry_gilliam dystopia twist_ending end_of_the_world postapocalyptic scifi post_apocalyptic,Sci-Fi
33,Wings of Courage,1995,Adventure IMAX Romance,jean-jacques_annaud,freddy_andreiuci balinder_johal ron_sauvé craig_sheffer elizabeth_mcgovern ken_pogue molly_parker tom_hulce val_kilmer,,Adventure IMAX Romance Adventure IMAX Romance jean-jacques_annaud freddy_andreiuci balinder_johal ron_sauvé craig_sheffer elizabeth_mcgovern ken_pogue molly_parker tom_hulce val_kilmer,Adventure
34,Babe,1995,Children Comedy Drama Fantasy,chris_noonan,christine_cavanaugh danny_mann james_cromwell magda_szubanski miriam_margolyes,pigs animals talking_animals animal_movie infantil boring adventure pig own hugo_weaving,Children Comedy Drama Fantasy Children Comedy Drama Fantasy chris_noonan christine_cavanaugh danny_mann james_cromwell magda_szubanski miriam_margolyes pigs animals talking_animals animal_movie infantil boring adventure pig own hugo_weaving,Children
35,Carrington,1995,Drama Romance,christopher_hampton,emma_thompson jonathan_pryce rufus_sewell samuel_west steven_waddington,on_dvr emma_thompson artist artists strong_woman biopics,Drama Romance Drama Romance christopher_hampton emma_thompson jonathan_pryce rufus_sewell samuel_west steven_waddington on_dvr emma_thompson artist artists strong_woman biopics,Drama
36,Dead Man Walking,1995,Crime Drama,tim_robbins,r._lee_ermey raymond_j._barry robert_prosky sean_penn susan_sarandon,death_penalty prison sean_penn true_story death oscar_(best_actress) drama murder based_on_a_book cant_remember,Crime Drama Crime Drama tim_robbins r._lee_ermey raymond_j._barry robert_prosky sean_penn susan_sarandon death_penalty prison sean_penn true_story death oscar_(best_actress) drama murder based_on_a_book cant_remember,Crime
37,Across the Sea of Time,1995,Documentary IMAX,stephan_low,ali_hoffman john_mcdonough peter_boyden peter_reznick victor_steinbach,,Documentary IMAX Documentary IMAX stephan_low ali_hoffman john_mcdonough peter_boyden peter_reznick victor_steinbach,Documentary
38,It Takes Two,1995,Comedy,andy_tennant,ashley_olsen kirstie_alley mary-kate_olsen philip_bosco steve_guttenberg,twins,Comedy Comedy andy_tennant ashley_olsen kirstie_alley mary-kate_olsen philip_bosco steve_guttenberg twins,Comedy
39,Clueless,1995,Comedy Romance,andras_solyom,dorka_gryllus lajos_kovács,teen romance high_school author:jane_austen classic seen_more_than_once adaptation girlie_movie chick_flick adapted_from:book,Comedy Romance Comedy Romance andras_solyom dorka_gryllus lajos_kovács teen romance high_school author:jane_austen classic seen_more_than_once adaptation girlie_movie chick_flick adapted_from:book,Comedy
40,"Cry, the Beloved Country",1995,Drama,darrell_roodt,richard_harris charles_s._dutton james_earl_jones leleti_khumalo vusi_kunene,in_netflix_queue disk south_africa,Drama Drama darrell_roodt richard_harris charles_s._dutton james_earl_jones leleti_khumalo vusi_kunene in_netflix_queue disk south_africa,Drama
41,Richard III,1995,Drama War,richard_loncraine,annette_bening ian_mckellen jim_broadbent nigel_hawthorne robert_downey_jr.,shakespeare robert_downey_jr updated_classics ian_mckellen based_on_a_play playwright:shakespeare adapted_from:play,Drama War Drama War richard_loncraine annette_bening ian_mckellen jim_broadbent nigel_hawthorne robert_downey_jr. shakespeare robert_downey_jr updated_classics ian_mckellen based_on_a_play playwright:shakespeare adapted_from:play,Drama
42,Dead Presidents,1995,Action Crime Drama,albert_hughes,chris_tucker freddy_rodriguez keith_david larenz_tate n'bushe_wright,bank_robbery erics_dvds,Action Crime Drama Action Crime Drama albert_hughes chris_tucker freddy_rodriguez keith_david larenz_tate n'bushe_wright bank_robbery erics_dvds,Action
43,Restoration,1995,Drama,michael_hoffman,hugh_grant ian_mckellen meg_ryan polly_walker robert_downey_jr.,nudity_(topless) england 17th_century,Drama Drama michael_hoffman hugh_grant ian_mckellen meg_ryan polly_walker robert_downey_jr. nudity_(topless) england 17th_century,Drama
44,Mortal Kombat,1995,Action Adventure Fantasy,paul_w.s._anderson,bridgette_wilson cary-hiroyuki_tagawa christopher_lambert linden_ashby robin_shou,video_game_adaptation martial_arts movie_to_see seen_at_the_cinema adapted_from:game,Action Adventure Fantasy Action Adventure Fantasy paul_w.s._anderson bridgette_wilson cary-hiroyuki_tagawa christopher_lambert linden_ashby robin_shou video_game_adaptation martial_arts movie_to_see seen_at_the_cinema adapted_from:game,Action
45,Live Free or Die Hard,2007,Comedy Drama Thriller,len_wiseman,bruce_willis cliff_curtis justin_long maggie_q timothy_olyphant,dark_comedy bibliothek clearplay erlends_dvds joaquin_phoenix library wayne_knight,Comedy Drama Thriller Comedy Drama Thriller len_wiseman bruce_willis cliff_curtis justin_long maggie_q timothy_olyphant dark_comedy bibliothek clearplay erlends_dvds joaquin_phoenix library wayne_knight,Comedy
46,How to Make an American Quilt,1995,Drama Romance,jocelyn_moorhouse,anne_bancroft ellen_burstyn kate_nelligan maya_angelou winona_ryder,bibliothek wedding,Drama Romance Drama Romance jocelyn_moorhouse anne_bancroft ellen_burstyn kate_nelligan maya_angelou winona_ryder bibliothek wedding,Drama
47,Shichinin no samurai,1954,Crime Horror Mystery Thriller,akira_kurosawa,minoru_chiaki seiji_miyaguchi takashi_shimura toshiro_mifune yoshio_inaba,serial_killer brad_pitt morgan_freeman thriller drama psychology david_fincher investigation crime mystery,Crime Horror Mystery Thriller Crime Horror Mystery Thriller akira_kurosawa minoru_chiaki seiji_miyaguchi takashi_shimura toshiro_mifune yoshio_inaba serial_killer brad_pitt morgan_freeman thriller drama psychology david_fincher investigation crime mystery,Crime
48,Pocahontas,1995,Animation Children Musical Romance,mike_gabriel,irene_bedard judy_kuhn linda_hunt mel_gibson russell_means,disney disney_animated_feature mel_gibson 70mm get david_ogden_stiers katottava,Animation Children Musical Romance Animation Children Musical Romance mike_gabriel irene_bedard judy_kuhn linda_hunt mel_gibson russell_means disney disney_animated_feature mel_gibson 70mm get david_ogden_stiers katottava,Animation
49,When Night Is Falling,1995,Drama Romance,patricia_rozema,david_fox henry_czerny pascale_bussieres rachael_crawford tracy_wright,lesbian circus own,Drama Romance Drama Romance patricia_rozema david_fox henry_czerny pascale_bussieres rachael_crawford tracy_wright lesbian circus own,Drama
50,The Usual Suspects,1995,Crime Mystery Thriller,bryan_singer,chazz_palminteri gabriel_byrne kevin_pollak pete_postlethwaite stephen_baldwin,twist_ending oscar_(best_supporting_actor) whodunnit crime conspiracy organized_crime mindfuck benicio_del_toro heist imdb_top_250,Crime Mystery Thriller Crime Mystery Thriller bryan_singer chazz_palminteri gabriel_byrne kevin_pollak pete_postlethwaite stephen_baldwin twist_ending oscar_(best_supporting_actor) whodunnit crime conspiracy organized_crime mindfuck benicio_del_toro heist imdb_top_250,Crime
52,Mighty Aphrodite,1995,Comedy Drama Romance,woody_allen,f_murray_abraham helena_bonham_carter michael_rapaport mira_sorvino woody_allen,woody_allen oscar_(best_supporting_actress) prostitution erlends_dvds seen_at_the_cinema watched_1995 adoption,Comedy Drama Romance Comedy Drama Romance woody_allen f_murray_abraham helena_bonham_carter michael_rapaport mira_sorvino woody_allen woody_allen oscar_(best_supporting_actress) prostitution erlends_dvds seen_at_the_cinema watched_1995 adoption,Comedy
53,Lamerica,1994,Adventure Drama,gianni_amelio,carmelo_di_mazzarelli elida_janushi enrico_lo_verso michele_placido piro_milkani,immigrants library_vhs,Adventure Drama Adventure Drama gianni_amelio carmelo_di_mazzarelli elida_janushi enrico_lo_verso michele_placido piro_milkani immigrants library_vhs,Adventure
54,The Big Green,1995,Children Comedy,holly_goldberg_sloan,gil_glasgow john_bourg olivia_d'abo steve_guttenberg yareli_arizmendi,soccer,Children Comedy Children Comedy holly_goldberg_sloan gil_glasgow john_bourg olivia_d'abo steve_guttenberg yareli_arizmendi soccer,Children
55,Georgia Rule,2007,Drama,garry_marshall,cary_elwes dermot_mulroney felicity_huffman jane_fonda lindsay_lohan,musicians,Drama Drama garry_marshall cary_elwes dermot_mulroney felicity_huffman jane_fonda lindsay_lohan musicians,Drama
56,Kids of the Round Table,1997,Adventure Children Fantasy,robert_tinnell,billy_coyle christopher_olscamp jeoffrey_graves johnny_morina justin_borntraeger,,Adventure Children Fantasy Adventure Children Fantasy robert_tinnell billy_coyle christopher_olscamp jeoffrey_graves johnny_morina justin_borntraeger,Adventure
57,Home for the Holidays,1995,Drama,jodie_foster,anne_bancroft charles_durning geraldine_chaplin holly_hunter robert_downey_jr.,boring drama robert_downey_jr,Drama Drama jodie_foster anne_bancroft charles_durning geraldine_chaplin holly_hunter robert_downey_jr. boring drama robert_downey_jr,Drama
58,Il postino,1994,Comedy Drama Romance,michael_radford,linda_moretti maria_grazia_cucinotta massimo_troisi philippe_noiret renato_scarpa,poetry writing on_disc corvallis_library sicily,Comedy Drama Romance Comedy Drama Romance michael_radford linda_moretti maria_grazia_cucinotta massimo_troisi philippe_noiret renato_scarpa poetry writing on_disc corvallis_library sicily,Comedy
59,Le confessionnal,1995,Drama Mystery,robert_lepage,anne-marie_cadieux suzanne_clément normand_daneau richard_fréchette marie_gignac patrick_goyette paul_hébert lynda_lepage-beaulieu billy_merasty françois_papineau pascal_rollin ron_burrage jean-louis_millette kristin_scott_thomas lothaire_bluteau,,Drama Mystery Drama Mystery robert_lepage anne-marie_cadieux suzanne_clément normand_daneau richard_fréchette marie_gignac patrick_goyette paul_hébert lynda_lepage-beaulieu billy_merasty françois_papineau pascal_rollin ron_burrage jean-louis_millette kristin_scott_thomas lothaire_bluteau,Drama
60,The Indian in the Cupboard,1995,Adventure Children Fantasy,frank_oz,david_keith hal_scardino lindsay_crouse litefoot richard_jenkins,,Adventure Children Fantasy Adventure Children Fantasy frank_oz david_keith hal_scardino lindsay_crouse litefoot richard_jenkins,Adventure
61,Eye for an Eye,1996,Drama Thriller,sara_botsford,graham_greene geneviève_bujold nancy_beatty,,Drama Thriller Drama Thriller sara_botsford graham_greene geneviève_bujold nancy_beatty,Drama
62,Mr. Holland's Opus,1995,Drama,stephen_herek,glenne_headly jay_thomas richard_dreyfuss olympia_dukakis william_h._macy,music high_school sappy stupid inspirational seen_more_than_once richard_dreyfuss william_h_macy olympia_dukakis moving,Drama Drama stephen_herek glenne_headly jay_thomas richard_dreyfuss olympia_dukakis william_h._macy music high_school sappy stupid inspirational seen_more_than_once richard_dreyfuss william_h_macy olympia_dukakis moving,Drama
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,1996,Comedy Crime,paris_barclay,chris_spencer marlon_wayans shawn_wayans suli_mccullough tracey_cherelle_jones,,Comedy Crime Comedy Crime paris_barclay chris_spencer marlon_wayans shawn_wayans suli_mccullough tracey_cherelle_jones,Comedy
64,Two If by Sea,1996,Comedy Romance,bill_bennett,denis_leary sandra_bullock stephen_dillane wayne_robson yaphet_kotto,,Comedy Romance Comedy Romance bill_bennett denis_leary sandra_bullock stephen_dillane wayne_robson yaphet_kotto,Comedy
65,Bio-Dome,1996,Comedy,jason_bloom,joey_lauren_adams pauly_shore stephen_baldwin teresa_hill william_atherton,stupid cant_remember buddy_comedy golden_raspberry_(worst_actor),Comedy Comedy jason_bloom joey_lauren_adams pauly_shore stephen_baldwin teresa_hill william_atherton stupid cant_remember buddy_comedy golden_raspberry_(worst_actor),Comedy
66,Lawnmower Man 2: Beyond Cyberspace,1996,Action Sci-Fi Thriller,farhad_mann,austin_o'brien ely_pouget kevin_conway matt_frewer patrick_bergin,imdb_bottom_100,Action Sci-Fi Thriller Action Sci-Fi Thriller farhad_mann austin_o'brien ely_pouget kevin_conway matt_frewer patrick_bergin imdb_bottom_100,Action
67,Two Bits,1995,Drama,james_foley,joanna_merlin al_pacino jerry_barone joe_grifasi mary_elizabeth_mastranton...,hw_drama,Drama Drama james_foley joanna_merlin al_pacino jerry_barone joe_grifasi mary_elizabeth_mastranton... hw_drama,Drama
68,Gazon maudit,1995,Comedy Romance,josiane_balasko,alain_chabat josiane_balasko katrine_boorman ticky_holgado victoria_abril,,Comedy Romance Comedy Romance josiane_balasko alain_chabat josiane_balasko katrine_boorman ticky_holgado victoria_abril,Comedy
69,Friday,1995,Comedy,marek_koterski,bozena_dykiel cezary_pazura marek_kondrat,friendship ice_cube wired_50_greatest_soundtracks,Comedy Comedy marek_koterski bozena_dykiel cezary_pazura marek_kondrat friendship ice_cube wired_50_greatest_soundtracks,Comedy
70,From Dusk Till Dawn,1996,Action Comedy Horror Thriller,robert_rodriguez,cheech_marin george_clooney harvey_keitel juliette_lewis quentin_tarantino,vampires tarantino quentin_tarantino cult_film vampire violence robert_rodriguez brothers mexico so_bad_its_good,Action Comedy Horror Thriller Action Comedy Horror Thriller robert_rodriguez cheech_marin george_clooney harvey_keitel juliette_lewis quentin_tarantino vampires tarantino quentin_tarantino cult_film vampire violence robert_rodriguez brothers mexico so_bad_its_good,Action
71,Fair Game,1995,Action,andrew_sipes,christopher_mcdonald cindy_crawford miguel_sandoval steven_berkoff william_baldwin,nudity_(topless),Action Action andrew_sipes christopher_mcdonald cindy_crawford miguel_sandoval steven_berkoff william_baldwin nudity_(topless),Action
72,Kicking & Screaming,2005,Comedy Drama,jesse_dylan,kate_walsh mike_ditka musetta_vander robert_duvall will_ferrell,witty underrated understated wistful talky literate wry,Comedy Drama Comedy Drama jesse_dylan kate_walsh mike_ditka musetta_vander robert_duvall will_ferrell witty underrated understated wistful talky literate wry,Comedy
73,Les misérables,1998,Drama War,bille_august,christopher_adamson claire_danes geoffrey_rush liam_neeson uma_thurman,,Drama War Drama War bille_august christopher_adamson claire_danes geoffrey_rush liam_neeson uma_thurman,Drama
74,Bed of Roses,1996,Drama Romance,michael_goldenberg,ally_walker christian_slater josh_brolin mary_stuart_masterson pamela_segall,girlie_movie,Drama Romance Drama Romance michael_goldenberg ally_walker christian_slater josh_brolin mary_stuart_masterson pamela_segall girlie_movie,Drama
75,Big Bully,1996,Comedy Drama,steve_miner,carol_kane jeffrey_tambor julianne_phillips rick_moranis tom_arnold,golden_raspberry_(worst_actor),Comedy Drama Comedy Drama steve_miner carol_kane jeffrey_tambor julianne_phillips rick_moranis tom_arnold golden_raspberry_(worst_actor),Comedy
76,Screamers,1995,Action Sci-Fi Thriller,christian_duguay,andrew_lauer bruce_boa jason_cavalier liliana_komorowska roy_dupuis,philip_k_dick artificial_intelligence nudity_(topless),Action Sci-Fi Thriller Action Sci-Fi Thriller christian_duguay andrew_lauer bruce_boa jason_cavalier liliana_komorowska roy_dupuis philip_k_dick artificial_intelligence nudity_(topless),Action
77,Nico Icon,1995,Documentary,susanne_ofteringer,andy_warhol billy_name jackson_browne john_cale jonas_mekas,,Documentary Documentary susanne_ofteringer andy_warhol billy_name jackson_browne john_cale jonas_mekas,Documentary
78,The Crossing Guard,1995,Drama,sean_penn,david_morse anjelica_huston jack_nicholson piper_laurie robin_wright_penn,nudity_(topless) sean_penn jack_nicholson,Drama Drama sean_penn david_morse anjelica_huston jack_nicholson piper_laurie robin_wright_penn nudity_(topless) sean_penn jack_nicholson,Drama
79,The Juror,1996,Drama Thriller,brian_gibson,alec_baldwin anne_heche demi_moore james_gandolfini joseph_gordon-levitt,nudity_(topless),Drama Thriller Drama Thriller brian_gibson alec_baldwin anne_heche demi_moore james_gandolfini joseph_gordon-levitt nudity_(topless),Drama
80,Badkonake sefid,1995,Children Drama,jafar_panahi,aida_mohammadkhani anna_bourkowska fereshtch_sadr_orfani mohammad_bahktiari mohsen_kalifi,on_dvr children girl lost_classic money snake sibling_relationships cultural_customs_and_traditions new_years_eve tehran,Children Drama Children Drama jafar_panahi aida_mohammadkhani anna_bourkowska fereshtch_sadr_orfani mohammad_bahktiari mohsen_kalifi on_dvr children girl lost_classic money snake sibling_relationships cultural_customs_and_traditions new_years_eve tehran,Children
81,Things to Do in Denver When You're Dead,1995,Crime Drama Romance,gary_fleder,william_forsythe andy_garcia bill_nunn christopher_lloyd treat_williams,recommendz_top_pick own detroit buscemi,Crime Drama Romance Crime Drama Romance gary_fleder william_forsythe andy_garcia bill_nunn christopher_lloyd treat_williams recommendz_top_pick own detroit buscemi,Crime
